iter	RMSE
0	245238.9675
1	217529.0237
2	194823.3538
3	177095.0958
4	162846.6504
5	151654.6992
6	143124.0393
7	136562.5426
8	131583.3364
9	127723.2159
10	124756.793
11	122506.7052
12	120793.3701
13	119564.6929
14	118629.1044
15	117731.7122
16	116955.5273
17	116368.9346
18	115857.0717
19	115414.1033
20	115021.5875
21	114573.6961
22	114220.6108
23	113924.1093
24	113658.9625
25	113439.0561
26	113044.9146
27	112765.3482
28	112604.6748
29	112463.3267
30	112202.1778
31	111947.3701
32	111730.8849
33	111569.3714
34	111446.7551
35	111207.6474
36	111088.3466
37	110920.8751
38	110831.6968
39	110689.1286
40	110518.7702
41	110329.8516
42	110231.9361
43	110138.6684
44	109993.8359
45	109804.195
46	109757.1579
47	109634.5763
48	109533.001
49	109413.1863
50	109336.5022
51	109236.1726
52	109134.101
53	108964.9817
54	108848.7854
55	108766.9099
56	108663.8985
57	108550.4539
58	108435.2538
59	108330.3713
60	108268.8839
61	108206.8467
62	107999.8027
63	107861.2769
64	107741.4043
65	107520.4574
66	107400.9625
67	107305.2925
68	107172.7905
69	107109.6357
70	107032.4595
71	106917.3508
72	106816.6796
73	106716.4068
74	106671.2998
75	106538.7477
76	106464.8717
77	106357.4813
78	106290.387
79	106224.268
80	106114.4756
81	106011.6589
82	105916.36
83	105801.2842
84	105729.5863
85	105634.3156
86	105581.0095
87	105469.5514
88	105401.4282
89	105340.6991
90	105250.7477
91	105177.4819
92	105081.7254
93	105003.7592
94	104924.778
95	104851.4526
96	104766.2338
97	104637.0785
98	104572.462
99	104519.388
100	104455.5946
101	104388.8867
102	104359.9583
103	104282.7578
104	104241.92
105	104158.123
106	104069.6461
107	103989.2567
108	103942.8239
109	103871.0026
110	103821.5125
111	103695.0218
112	103602.8864
113	103560.6162
114	103483.6233
115	103432.595
116	103386.4731
117	103298.4771
118	103224.3378
119	103170.9787
120	103152.7743
121	103079.144
122	103019.362
123	102957.9026
124	102901.6411
125	102821.8292
126	102777.9491
127	102730.553
128	102688.9907
129	102641.154
130	102589.1
131	102526.2349
132	102460.8564
133	102380.8372
134	102329.5144
135	102254.5225
136	102219.5814
137	102205.525
138	102138.0526
139	102107.7236
140	102027.2296
141	101989.7724
142	101955.262
143	101909.2226
144	101857.6519
145	101806.1174
146	101731.2873
147	101691.2644
148	101647.7674
149	101638.2842
150	101583.398
151	101517.8357
152	101472.7441
153	101442.5394
154	101419.2625
155	101372.1241
156	101298.0451
157	101228.5958
158	101187.3153
159	101150.1906
160	101086.2978
161	101075.3611
162	101054.0849
163	101007.4804
164	100974.342
165	100903.4138
166	100872.1422
167	100836.5355
168	100796.2619
169	100760.2395
170	100742.8266
171	100735.0008
172	100685.781
173	100633.2087
174	100590.1315
175	100584.1188
176	100573.4621
177	100530.6489
178	100505.2062
179	100477.8136
180	100448.2147
181	100410.0253
182	100362.9347
183	100313.5749
184	100297.5461
185	100245.4913
186	100211.0936
