iter	Passed	Remaining
0	28	56718
1	95	95728
2	154	103017
3	193	96719
4	214	85645
5	224	74680
6	232	66117
7	240	59945
8	246	54614
9	280	55875
10	304	55135
11	324	53676
12	339	51837
13	350	49744
14	371	49226
15	398	49383
16	417	48699
17	431	47529
18	443	46271
19	457	45331
20	468	44144
21	476	42857
22	488	41994
23	499	41089
24	509	40271
25	523	39771
26	532	38922
27	538	37908
28	546	37147
29	565	37109
30	574	36513
31	611	37609
32	621	37019
33	625	36191
34	651	36602
35	657	35846
36	682	36194
37	688	35572
38	697	35083
39	704	34512
40	730	34906
41	745	34753
42	754	34324
43	761	33870
44	769	33434
45	774	32884
46	788	32766
47	795	32332
48	809	32222
49	823	32113
50	831	31776
51	836	31353
52	848	31176
53	855	30820
54	863	30549
55	870	30218
56	883	30123
57	895	29991
58	910	29948
59	916	29638
60	925	29423
61	931	29125
62	943	29018
63	950	28746
64	960	28580
65	966	28321
66	974	28121
67	990	28131
68	1002	28042
69	1013	27939
70	1019	27685
71	1026	27498
72	1031	27223
73	1037	26993
74	1048	26923
75	1055	26726
76	1067	26650
77	1079	26607
78	1098	26722
79	1116	26791
80	1128	26739
81	1134	26540
82	1145	26464
83	1150	26244
84	1159	26124
85	1164	25921
86	1174	25829
87	1184	25732
88	1190	25570
89	1195	25379
90	1209	25362
91	1221	25331
92	1227	25166
93	1238	25103
94	1243	24926
95	1248	24757
96	1254	24611
97	1258	24426
98	1263	24269
99	1269	24120
100	1276	23998
101	1293	24078
102	1301	23973
103	1313	23946
104	1321	23842
105	1346	24065
106	1358	24035
107	1373	24054
108	1379	23940
109	1387	23847
110	1393	23713
111	1405	23697
112	1412	23593
113	1424	23571
114	1436	23547
115	1445	23482
116	1454	23402
117	1463	23344
118	1472	23269
119	1477	23139
120	1494	23212
121	1509	23233
122	1519	23188
123	1535	23223
124	1541	23123
125	1545	22993
126	1552	22891
127	1559	22808
128	1569	22764
129	1574	22649
130	1602	22864
131	1608	22769
132	1617	22702
133	1621	22581
134	1626	22464
135	1636	22423
136	1646	22391
137	1652	22291
138	1660	22226
139	1667	22149
140	1672	22055
141	1693	22155
142	1699	22072
143	1706	21994
144	1712	21907
145	1721	21858
146	1730	21810
147	1739	21765
148	1745	21683
149	1752	21614
150	1758	21533
151	1771	21540
152	1777	21452
153	1782	21372
154	1802	21457
155	1814	21449
156	1822	21389
157	1830	21339
158	1837	21276
159	1847	21246
160	1856	21200
161	1873	21255
162	1883	21229
163	1896	21228
164	1901	21149
165	1906	21065
166	1913	21006
167	1919	20936
168	1932	20933
169	1938	20867
170	1945	20808
171	1951	20737
172	1966	20766
173	1976	20737
174	1993	20788
175	2008	20811
176	2016	20771
177	2038	20869
178	2052	20884
179	2058	20813
180	2069	20800
181	2075	20732
182	2094	20794
183	2105	20779
184	2121	20815
185	2127	20749
186	2132	20674
187	2153	20752
188	2160	20703
189	2165	20633
190	2173	20581
191	2178	20514
192	2203	20628
193	2209	20569
194	2214	20496
195	2220	20437
196	2227	20387
197	2234	20340
198	2248	20350
199	2257	20321
200	2267	20293
201	2273	20238
202	2296	20324
203	2303	20278
204	2309	20221
205	2326	20260
206	2331	20194
207	2337	20142
208	2343	20078
209	2348	20014
210	2359	20001
211	2363	19935
